Instructions,Question,Options,CorrectAnswer,Explanation
Read the following passage and answer the question.,What is the capital of France?,"Paris,London,Berlin,Madrid",1,Paris is the capital of France.
Read the following passage and answer the question.,Who wrote "Romeo and Juliet"?,"Charles Dickens,William Shakespeare,Emily Brontë,Jane Austen",2,William Shakespeare wrote "Romeo and Juliet."
Read the following passage and answer the question.,What is the powerhouse of the cell?,"Mitochondria,Golgi Apparatus,Nucleus,Endoplasmic Reticulum",1,The powerhouse of the cell is the mitochondria.
Read the following passage and answer the question.,In which year did the Titanic sink?,"1908,1912,1920,1935",2,The Titanic sank in the year 1912.
Read the following passage and answer the question.,What is the largest planet in our solar system?,"Earth,Mars,Jupiter,Saturn",3,Jupiter is the largest planet in our solar system.
Read the following passage and answer the question.,Who painted the Mona Lisa?,"Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet",3,The Mona Lisa was painted by Leonardo da Vinci.
Read the following passage and answer the question.,What is the chemical symbol for gold?,"Au,Ag,Fe,Hg",1,The chemical symbol for gold is Au.
Read the following passage and answer the question.,Who is the protagonist in "To Kill a Mockingbird"?,"Atticus Finch,Scout Finch,Boo Radley,Mayella Ewell",2,The protagonist in "To Kill a Mockingbird" is Scout Finch.
Read the following passage and answer the question.,Which planet is known as the Red Planet?,"Venus,Mars,Mercury,Neptune",2,Mars is known as the Red Planet.
 
